seed, runtime(s), ecmin
1, 12.37, 945
2, 10.65, 942
3, 11.09, 945
4, 10.92, 939
5, 11.60, 945
6, 12.07, 948
7, 10.65, 945
8, 11.09, 945
9, 10.37, 945
10, 10.79, 942
11, 10.66, 945
12, 11.84, 942
13, 11.33, 945
14, 11.13, 945
15, 11.48, 948
16, 12.17, 939
17, 11.90, 945
18, 12.21, 945
19, 11.70, 945
20, 11.82, 939
21, 11.18, 945
22, 10.96, 945
23, 11.50, 942
24, 11.60, 945
25, 11.74, 945
26, 11.73, 948
27, 10.50, 948
28, 11.25, 945
29, 10.91, 942
30, 11.08, 945
