seed, runtime(s), ecmin
1, 14.14, 1578
2, 12.99, 1584
3, 13.59, 1575
4, 13.89, 1569
5, 12.33, 1578
6, 13.43, 1575
7, 12.33, 1578
8, 10.69, 1575
9, 12.72, 1578
10, 11.05, 1578
11, 10.45, 1572
12, 8.70, 1575
13, 9.38, 1581
14, 9.82, 1575
15, 8.85, 1569
16, 10.22, 1569
17, 11.59, 1572
18, 11.69, 1578
19, 13.52, 1575
20, 12.49, 1575
21, 11.29, 1572
22, 11.33, 1569
23, 13.60, 1572
24, 12.04, 1566
25, 13.36, 1575
26, 12.08, 1572
27, 12.28, 1569
28, 11.91, 1572
29, 13.72, 1572
30, 14.49, 1572
