seed, runtime(s), ecmin
1, 30.16, 807
2, 25.77, 810
3, 30.07, 807
4, 30.25, 807
5, 27.53, 813
6, 27.22, 810
7, 28.81, 813
8, 25.82, 804
9, 25.50, 810
10, 26.47, 810
11, 25.79, 810
12, 27.13, 810
13, 24.14, 813
14, 27.33, 816
15, 28.44, 810
16, 27.02, 813
17, 32.59, 813
18, 27.50, 810
19, 27.25, 807
20, 24.31, 810
21, 26.30, 810
22, 25.49, 813
23, 24.46, 810
24, 24.56, 807
25, 25.15, 810
26, 23.90, 813
27, 25.34, 813
28, 26.81, 813
29, 24.63, 813
30, 24.31, 804
