seed, runtime(s), ecmin
1, 8.30, 942
2, 6.55, 942
3, 6.47, 942
4, 6.71, 939
5, 5.85, 942
6, 5.81, 942
7, 6.01, 942
8, 5.97, 942
9, 5.79, 945
10, 5.87, 939
11, 6.21, 942
12, 5.85, 942
13, 6.71, 945
14, 6.56, 945
15, 6.54, 942
16, 6.43, 945
17, 6.58, 948
18, 6.21, 945
19, 6.32, 942
20, 6.26, 942
21, 5.61, 939
22, 6.25, 945
23, 6.46, 942
24, 5.92, 942
25, 6.68, 939
26, 5.88, 939
27, 5.96, 939
28, 5.94, 945
29, 5.86, 945
30, 6.21, 945
