seed, runtime(s), ecmin
1, 76.88, 3858
2, 72.26, 3864
3, 73.48, 3879
4, 70.49, 3879
5, 72.28, 3867
6, 69.57, 3873
7, 73.38, 3867
8, 73.67, 3879
9, 74.84, 3888
10, 70.64, 3864
11, 72.52, 3879
12, 71.92, 3873
13, 72.56, 3861
14, 74.46, 3882
15, 70.65, 3873
16, 71.68, 3864
17, 71.20, 3879
18, 73.16, 3876
19, 67.02, 3867
20, 68.08, 3870
21, 67.26, 3849
22, 67.03, 3864
23, 67.13, 3867
24, 92.67, 3873
25, 118.93, 3870
26, 117.03, 3861
27, 115.25, 3870
28, 117.62, 3867
29, 118.50, 3864
30, 115.96, 3873
