seed, runtime(s), ecmin
1, 206.71, 3459
2, 202.53, 3474
3, 192.56, 3462
4, 189.86, 3459
5, 194.50, 3465
6, 208.79, 3468
7, 212.52, 3462
8, 185.74, 3474
9, 192.41, 3471
10, 173.07, 3474
11, 157.30, 3456
12, 129.10, 3480
13, 123.77, 3456
14, 175.85, 3477
15, 197.30, 3462
16, 199.02, 3465
17, 193.46, 3459
18, 197.15, 3462
19, 198.65, 3468
20, 175.97, 3471
21, 157.61, 3444
22, 158.73, 3459
23, 158.98, 3462
24, 153.60, 3474
25, 160.77, 3465
26, 156.50, 3471
27, 158.41, 3465
28, 159.78, 3477
29, 151.77, 3441
30, 155.39, 3468
