seed, runtime(s), ecmin
1, 92.26, 4350
2, 92.47, 4353
3, 92.55, 4365
4, 93.20, 4362
5, 93.05, 4353
6, 96.37, 4347
7, 99.20, 4356
8, 97.61, 4362
9, 92.23, 4362
10, 94.22, 4359
11, 95.18, 4371
12, 92.42, 4368
13, 93.11, 4356
14, 98.48, 4362
15, 91.19, 4359
16, 93.27, 4368
17, 91.94, 4368
18, 92.99, 4347
19, 82.55, 4350
20, 82.53, 4356
21, 99.60, 4353
22, 143.22, 4359
23, 146.15, 4362
24, 147.02, 4356
25, 149.23, 4359
26, 146.52, 4362
27, 144.43, 4356
28, 145.88, 4347
29, 148.63, 4359
30, 147.86, 4350
