seed, runtime(s), ecmin
1, 185.48, 5106
2, 190.02, 5097
3, 175.89, 5106
4, 163.57, 5103
5, 177.77, 5091
6, 185.81, 5091
7, 168.97, 5100
8, 171.64, 5097
9, 157.35, 5097
10, 165.11, 5082
11, 171.16, 5106
12, 161.60, 5097
13, 160.51, 5109
14, 156.06, 5103
15, 154.14, 5097
16, 152.97, 5085
17, 155.90, 5112
18, 153.88, 5097
19, 158.96, 5094
20, 152.64, 5100
21, 152.59, 5103
22, 149.51, 5088
23, 151.27, 5109
24, 153.83, 5109
25, 149.09, 5103
26, 146.41, 5091
27, 147.92, 5103
28, 145.41, 5094
29, 147.16, 5088
30, 152.51, 5100
