seed, runtime(s), ecmin
1, 271.60, 3945
2, 258.24, 3942
3, 250.03, 3939
4, 261.38, 3945
5, 254.56, 3948
6, 241.63, 3948
7, 248.86, 3939
8, 247.65, 3954
9, 231.16, 3939
10, 228.09, 3939
11, 228.56, 3951
12, 223.77, 3939
13, 230.46, 3942
14, 220.90, 3942
15, 227.48, 3939
16, 225.83, 3942
17, 220.38, 3942
18, 218.52, 3942
19, 224.60, 3954
20, 223.88, 3945
21, 185.33, 3951
22, 175.48, 3933
23, 239.04, 3945
24, 251.94, 3933
25, 253.09, 3948
26, 216.14, 3945
27, 273.30, 3942
28, 275.14, 3948
29, 277.82, 3939
30, 265.34, 3951
