seed, runtime(s), ecmin
1, 68.44, 3228
2, 63.91, 3201
3, 132.83, 3213
4, 114.84, 3213
5, 136.11, 3216
6, 155.69, 3222
7, 139.04, 3213
8, 150.18, 3213
9, 146.09, 3231
10, 148.10, 3225
11, 124.36, 3210
12, 110.49, 3216
13, 110.39, 3219
14, 109.75, 3228
15, 111.55, 3213
16, 113.15, 3219
17, 114.13, 3213
18, 119.98, 3219
19, 123.20, 3210
20, 119.01, 3216
21, 114.27, 3222
22, 112.04, 3210
23, 99.92, 3213
24, 94.97, 3222
25, 104.87, 3207
26, 96.94, 3213
27, 99.92, 3219
28, 94.35, 3204
29, 102.20, 3216
30, 105.38, 3207
