seed, runtime(s), ecmin
1, 119.58, 2907
2, 115.30, 2907
3, 115.50, 2904
4, 113.90, 2901
5, 110.21, 2907
6, 115.74, 2913
7, 114.51, 2913
8, 109.50, 2904
9, 110.85, 2904
10, 115.91, 2907
11, 117.51, 2904
12, 103.40, 2901
13, 105.05, 2907
14, 105.25, 2907
15, 105.82, 2901
16, 188.34, 2907
17, 183.35, 2898
18, 188.03, 2907
19, 185.47, 2916
20, 159.01, 2901
21, 157.63, 2919
22, 152.30, 2901
23, 129.08, 2916
24, 93.27, 2898
25, 93.69, 2901
26, 93.88, 2907
27, 97.63, 2913
28, 94.49, 2898
29, 93.59, 2913
30, 92.01, 2901
