Seed, Runtime(s), ecmin
1, 17.47, 2184
2, 18.75, 2187
3, 17.47, 2184
4, 17.48, 2178
5, 16.82, 2187
6, 17.46, 2184
8, 17.75, 2181
7, 17.78, 2175
9, 17.50, 2184
10, 18.14, 2175
12, 17.08, 2187
11, 18.16, 2175
14, 17.62, 2181
13, 18.43, 2184
16, 16.97, 2184
15, 17.33, 2184
18, 17.18, 2184
17, 19.23, 2169
19, 18.04, 2184
20, 18.86, 2184
21, 16.28, 2178
22, 17.81, 2187
23, 16.43, 2181
24, 17.39, 2184
26, 16.70, 2184
25, 17.54, 2169
27, 17.87, 2184
28, 18.07, 2184
30, 16.67, 2181
29, 16.84, 2181
