Seed, Runtime(s), ecmin
1, 39.94, 3261
2, 41.22, 3258
4, 39.82, 3255
3, 41.54, 3264
5, 39.69, 3255
6, 41.03, 3258
8, 40.37, 3267
7, 41.55, 3255
9, 39.79, 3267
10, 41.17, 3258
12, 40.18, 3249
11, 42.69, 3255
13, 40.98, 3258
14, 41.26, 3255
16, 43.60, 3255
15, 48.09, 3255
18, 41.14, 3267
17, 41.38, 3264
20, 41.67, 3252
19, 44.01, 3255
22, 41.41, 3246
21, 43.04, 3258
24, 40.01, 3261
23, 42.54, 3255
26, 41.17, 3264
25, 41.65, 3249
28, 41.64, 3246
27, 42.19, 3264
30, 40.56, 3270
29, 42.70, 3249
