Seed, Runtime(s), ecmin
2, 11.75, 699
1, 13.39, 702
4, 13.30, 699
3, 13.57, 705
6, 13.06, 702
5, 13.37, 702
7, 12.19, 699
8, 15.55, 699
9, 12.68, 702
10, 14.20, 702
12, 12.34, 702
11, 12.62, 702
13, 12.86, 702
14, 13.24, 699
15, 12.72, 705
16, 13.01, 699
18, 12.66, 702
17, 14.77, 702
19, 14.89, 696
20, 14.95, 702
21, 13.41, 696
22, 13.81, 702
23, 11.89, 702
24, 12.75, 699
26, 12.35, 699
25, 13.70, 699
27, 12.66, 702
28, 13.16, 702
30, 12.46, 702
29, 13.80, 705
