Seed, Runtime(s), ecmin
2, 7.40, 1305
1, 8.22, 1305
3, 8.17, 1308
4, 8.24, 1311
6, 7.42, 1308
5, 8.13, 1293
7, 7.33, 1302
8, 8.07, 1302
9, 7.34, 1308
10, 7.80, 1308
12, 7.36, 1308
11, 8.24, 1302
14, 7.35, 1299
13, 7.81, 1308
16, 7.41, 1311
15, 8.03, 1308
17, 6.77, 1308
18, 7.49, 1305
20, 6.36, 1311
19, 7.74, 1308
22, 7.10, 1308
21, 7.97, 1305
24, 7.53, 1305
23, 8.39, 1308
25, 6.55, 1302
26, 8.48, 1302
27, 7.13, 1308
28, 7.30, 1302
29, 7.96, 1311
30, 8.31, 1305
