Seed, Runtime(s), mecmin
1, 31.18, 72
2, 31.26, 75
4, 30.84, 75
3, 30.85, 77
5, 32.31, 77
6, 33.19, 81
7, 31.48, 72
8, 32.55, 75
9, 30.57, 80
10, 32.04, 66
12, 30.63, 72
11, 32.00, 69
14, 31.96, 69
13, 34.25, 66
16, 32.62, 66
15, 34.76, 69
17, 30.79, 71
18, 31.43, 66
20, 30.03, 75
19, 31.53, 70
22, 32.12, 72
21, 34.05, 80
24, 31.89, 74
23, 32.74, 75
26, 32.01, 69
25, 33.09, 75
27, 29.19, 72
28, 32.76, 71
29, 30.47, 80
30, 32.06, 78
