Seed, Runtime(s), mecmin
1, 3.90, 32
2, 4.70, 28
3, 4.70, 31
4, 5.13, 32
5, 4.71, 31
6, 4.94, 31
8, 4.34, 29
7, 4.45, 30
9, 4.83, 30
10, 4.88, 32
12, 3.71, 31
11, 5.30, 32
13, 4.46, 30
14, 4.94, 30
15, 4.21, 31
16, 4.95, 31
18, 4.41, 32
17, 4.71, 31
20, 4.12, 31
19, 4.69, 29
22, 4.70, 31
21, 4.95, 32
23, 4.49, 31
24, 5.12, 32
26, 4.57, 30
25, 4.68, 32
27, 4.32, 31
28, 4.55, 32
30, 4.36, 29
29, 4.61, 31
