Seed, Runtime(s), mecmin
2, 31.02, 24
1, 31.51, 21
4, 33.33, 24
3, 34.66, 24
5, 30.00, 24
6, 34.36, 24
8, 32.60, 24
7, 36.11, 24
10, 32.61, 23
9, 34.10, 24
11, 31.01, 24
12, 31.88, 24
13, 36.50, 23
14, 36.85, 23
16, 27.51, 24
15, 28.64, 24
17, 28.66, 24
18, 29.41, 24
19, 33.33, 24
20, 35.88, 24
21, 31.65, 24
22, 33.17, 24
23, 33.30, 25
24, 35.06, 27
25, 34.52, 24
26, 35.64, 24
27, 32.15, 24
28, 33.64, 25
29, 33.69, 24
30, 34.69, 22
