Seed, Runtime(s), mecmin
2, 32.85, 92
1, 34.03, 98
4, 33.97, 83
3, 34.09, 80
6, 32.21, 77
5, 32.39, 88
7, 31.24, 80
8, 35.76, 86
10, 33.97, 77
9, 35.63, 84
11, 32.12, 92
12, 39.56, 83
14, 37.43, 80
13, 40.43, 83
15, 37.70, 83
16, 37.98, 86
17, 35.23, 90
18, 38.57, 89
20, 35.71, 98
19, 37.24, 83
22, 35.52, 83
21, 40.72, 83
23, 38.72, 89
24, 40.50, 83
26, 35.91, 77
25, 38.46, 83
28, 38.98, 77
27, 39.96, 74
29, 38.98, 92
30, 40.06, 80
