Seed, Runtime(s), mecmin
1, 21.22, 74
2, 22.66, 66
3, 20.99, 74
4, 21.13, 69
6, 24.43, 71
5, 24.70, 74
8, 21.28, 71
7, 21.40, 74
10, 23.31, 73
9, 25.11, 70
11, 23.54, 69
12, 24.03, 65
13, 22.38, 71
14, 24.38, 69
15, 25.98, 63
16, 26.03, 60
17, 23.31, 77
18, 23.95, 77
20, 23.76, 69
19, 24.71, 63
22, 22.86, 74
21, 23.11, 74
23, 23.25, 74
24, 23.59, 74
25, 21.17, 70
26, 21.76, 76
28, 21.88, 65
27, 23.09, 65
29, 21.48, 75
30, 21.81, 74
