Seed, Runtime(s), mecmin
1, 97.66, 28
2, 105.66, 23
4, 85.97, 26
3, 87.69, 27
5, 95.02, 24
6, 100.51, 26
7, 95.54, 28
8, 102.80, 23
10, 92.11, 24
9, 93.40, 24
11, 90.18, 24
12, 93.91, 30
13, 88.98, 28
14, 89.50, 28
15, 92.63, 25
16, 110.03, 27
18, 82.57, 26
17, 85.04, 26
20, 85.72, 27
19, 94.46, 24
21, 84.87, 28
22, 86.61, 24
23, 91.08, 27
24, 98.47, 26
25, 104.45, 26
26, 108.23, 23
27, 88.75, 29
28, 91.48, 27
30, 85.96, 24
29, 87.40, 26
