Seed, Runtime(s), mecmin
2, 44.19, 23
1, 49.45, 23
4, 47.10, 23
3, 49.55, 23
6, 44.09, 23
5, 49.82, 23
8, 50.10, 23
7, 52.18, 23
10, 43.41, 24
9, 46.49, 23
11, 45.70, 23
12, 50.82, 23
13, 42.54, 23
14, 50.81, 23
16, 43.18, 24
15, 48.05, 23
17, 48.96, 23
18, 53.34, 23
19, 42.50, 23
20, 43.00, 23
21, 45.64, 23
22, 52.66, 24
24, 47.76, 22
23, 52.47, 23
26, 45.90, 23
25, 56.43, 23
28, 49.36, 23
27, 50.73, 23
30, 48.84, 23
29, 50.96, 24
