Seed, Runtime(s), mecmin
2, 21.35, 245
1, 21.63, 263
4, 22.22, 300
3, 22.29, 261
6, 21.77, 224
5, 21.81, 266
7, 21.94, 260
8, 21.98, 260
10, 21.55, 234
9, 22.07, 236
12, 21.58, 228
11, 22.21, 230
13, 22.42, 233
14, 22.72, 260
15, 20.29, 281
16, 21.74, 228
17, 21.26, 240
18, 21.73, 233
20, 21.18, 228
19, 21.20, 236
21, 20.39, 263
22, 21.17, 245
24, 20.85, 233
23, 22.40, 231
25, 22.29, 228
26, 22.32, 257
27, 22.28, 242
28, 22.34, 236
29, 22.34, 257
30, 22.49, 257
