seed, runtime(s), ecmin
1, 0.60, 960
2, 0.35, 957
3, 0.32, 957
4, 0.33, 954
5, 0.34, 960
6, 0.32, 951
7, 0.33, 960
8, 0.32, 960
9, 0.31, 960
10, 0.31, 957
11, 0.31, 957
12, 0.31, 957
13, 0.31, 957
14, 0.31, 954
15, 0.31, 960
16, 0.31, 960
17, 0.31, 957
18, 0.31, 963
19, 0.31, 960
20, 0.31, 957
21, 0.32, 954
22, 0.31, 960
23, 0.31, 960
24, 0.31, 957
25, 0.31, 954
26, 0.31, 957
27, 0.31, 960
28, 0.31, 957
29, 0.31, 960
30, 0.34, 960
