seed, runtime(s), ecmin
1, 93.01, 2544
2, 82.06, 2535
3, 91.33, 2559
4, 85.27, 2523
5, 113.73, 2538
6, 158.79, 2553
7, 165.30, 2547
8, 162.03, 2538
9, 163.58, 2544
10, 94.17, 2538
11, 78.99, 2544
12, 79.61, 2532
13, 79.18, 2553
14, 77.94, 2538
15, 80.61, 2538
16, 78.64, 2547
17, 78.20, 2550
18, 78.98, 2532
19, 78.58, 2556
20, 78.55, 2547
21, 77.95, 2541
22, 77.38, 2553
23, 80.19, 2535
24, 78.49, 2535
25, 77.26, 2544
26, 80.04, 2544
27, 79.73, 2547
28, 78.23, 2538
29, 79.10, 2547
30, 79.38, 2550
