Seed, Runtime(s), mecmin
1, 30.35, 24
2, 31.22, 24
3, 31.64, 22
4, 31.90, 24
6, 31.15, 24
5, 31.40, 24
8, 29.81, 23
7, 30.42, 23
10, 29.87, 23
9, 32.07, 24
12, 27.21, 23
11, 30.38, 22
14, 30.87, 24
13, 32.40, 24
15, 28.44, 24
16, 29.99, 25
18, 31.29, 22
17, 32.95, 24
19, 32.60, 24
20, 33.15, 24
22, 31.24, 24
21, 32.01, 24
23, 29.45, 24
24, 31.94, 24
25, 28.60, 23
26, 29.89, 21
28, 26.92, 24
27, 33.59, 24
30, 27.92, 24
29, 29.90, 23
