Seed, Runtime(s), mecmin
1, 19.78, 79
2, 19.88, 84
4, 20.63, 80
3, 20.87, 81
5, 19.22, 89
6, 21.03, 84
8, 20.03, 82
7, 21.42, 83
9, 19.44, 83
10, 20.34, 81
12, 19.29, 86
11, 20.88, 80
13, 18.91, 81
14, 20.33, 79
15, 19.04, 83
16, 20.53, 84
17, 18.38, 78
18, 18.40, 83
19, 19.78, 78
20, 20.72, 78
21, 19.50, 74
22, 21.23, 81
23, 17.68, 86
24, 19.58, 80
25, 20.98, 83
26, 21.43, 90
27, 19.72, 83
28, 20.10, 80
29, 20.12, 80
30, 20.72, 81
