Seed, Runtime(s), mecmin
2, 31.56, 33
1, 32.75, 33
4, 31.62, 33
3, 34.10, 33
6, 33.16, 33
5, 34.78, 34
7, 32.79, 35
8, 33.57, 35
10, 30.85, 34
9, 33.10, 33
11, 29.70, 35
12, 31.38, 36
13, 32.84, 35
14, 33.13, 35
16, 31.49, 35
15, 32.73, 36
18, 32.15, 35
17, 34.99, 33
19, 31.16, 33
20, 33.29, 35
21, 30.73, 35
22, 32.59, 34
24, 31.09, 34
23, 31.69, 35
25, 30.20, 34
26, 34.63, 35
28, 33.04, 34
27, 35.48, 32
30, 32.20, 35
29, 32.87, 33
