Seed, Runtime(s), mecmin
2, 37.76, 37
1, 37.94, 36
3, 37.19, 38
4, 38.63, 38
5, 40.04, 38
6, 42.09, 37
7, 37.91, 39
8, 40.34, 39
10, 39.69, 39
9, 42.33, 40
12, 38.20, 38
11, 38.47, 35
14, 37.90, 35
13, 38.69, 38
16, 38.62, 36
15, 41.04, 37
17, 39.83, 38
18, 42.19, 39
20, 37.27, 39
19, 38.66, 38
21, 40.21, 39
22, 42.71, 38
23, 38.61, 35
24, 40.69, 38
25, 38.55, 35
26, 40.86, 38
28, 41.89, 38
27, 43.22, 37
29, 40.98, 38
30, 41.62, 35
