Seed, Runtime(s), mecmin
2, 21.01, 236
1, 22.43, 233
4, 21.63, 227
3, 23.60, 228
5, 20.35, 230
6, 22.42, 230
8, 22.34, 233
7, 22.65, 254
10, 20.41, 233
9, 22.94, 239
11, 23.50, 249
12, 23.75, 237
14, 22.76, 263
13, 23.87, 234
16, 22.30, 230
15, 23.32, 239
17, 23.57, 223
18, 23.70, 236
19, 23.72, 233
20, 23.95, 260
21, 22.32, 231
22, 23.42, 233
23, 22.15, 233
24, 24.24, 255
25, 21.24, 231
26, 22.47, 236
27, 21.30, 236
28, 22.54, 234
30, 22.82, 261
29, 23.18, 245
