Seed, Runtime(s), mecmin
1, 15.27, 77
2, 15.58, 81
3, 15.30, 77
4, 15.34, 80
6, 15.64, 78
5, 15.86, 84
7, 15.79, 74
8, 15.84, 81
9, 15.52, 78
10, 15.75, 81
12, 14.47, 76
11, 15.08, 72
14, 15.97, 71
13, 16.51, 81
15, 16.44, 78
16, 16.61, 81
18, 15.17, 81
17, 16.02, 77
20, 14.37, 77
19, 15.40, 75
21, 14.55, 71
22, 16.81, 80
23, 15.37, 78
24, 15.59, 75
25, 15.64, 81
26, 16.91, 75
27, 15.83, 75
28, 16.19, 81
30, 15.83, 72
29, 16.17, 72
