Seed, Runtime(s), ecmin
2, 15.32, 558
1, 15.84, 558
4, 14.69, 555
3, 17.10, 555
6, 14.22, 558
5, 16.34, 555
7, 14.24, 555
8, 15.36, 558
10, 15.47, 558
9, 18.38, 555
12, 15.31, 558
11, 15.43, 558
13, 16.10, 558
14, 16.27, 555
16, 14.03, 558
15, 17.03, 549
18, 14.85, 555
17, 17.05, 552
19, 15.38, 555
20, 16.76, 558
22, 15.61, 558
21, 15.76, 552
24, 14.65, 555
23, 16.03, 552
26, 15.03, 555
25, 16.73, 555
27, 15.38, 552
28, 16.22, 555
29, 13.97, 558
30, 15.47, 555
