Seed, Runtime(s), ecmin
2, 3.53, 1098
1, 3.76, 1101
3, 3.90, 1098
4, 4.29, 1098
6, 4.15, 1092
5, 4.48, 1092
8, 3.66, 1101
7, 4.29, 1107
10, 4.24, 1098
9, 4.65, 1098
12, 3.58, 1101
11, 4.15, 1101
13, 4.01, 1101
14, 4.76, 1095
15, 3.73, 1101
16, 4.30, 1098
18, 3.84, 1101
17, 3.88, 1101
19, 3.36, 1092
20, 3.78, 1098
22, 4.10, 1098
21, 4.69, 1104
24, 3.77, 1095
23, 4.21, 1101
25, 4.41, 1098
26, 4.52, 1101
27, 3.84, 1101
28, 3.94, 1098
29, 3.78, 1098
30, 4.44, 1098
