seed, runtime(s), ecmin
1, 0.57, 960
2, 0.35, 957
3, 0.31, 957
4, 0.31, 954
5, 0.32, 960
6, 0.31, 951
7, 0.31, 960
8, 0.31, 960
9, 0.30, 960
10, 0.30, 957
11, 0.29, 957
12, 0.30, 957
13, 0.30, 957
14, 0.30, 954
15, 0.30, 960
16, 0.30, 960
17, 0.29, 957
18, 0.29, 963
19, 0.30, 960
20, 0.29, 957
21, 0.30, 954
22, 0.30, 960
23, 0.29, 960
24, 0.29, 957
25, 0.29, 954
26, 0.30, 957
27, 0.29, 960
28, 0.29, 957
29, 0.30, 960
30, 0.29, 960
