1, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
2, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
3, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
4, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
5, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
6, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
7, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
8, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
9, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
10, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
11, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
12, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
13, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1260 1254 1263 1257 1260 1260 1260 
14, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1257 1254 1263 1257 1260 1260 1260 
15, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1257 1254 1263 1257 1260 1260 1260 
16, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1257 1254 1263 1257 1260 1260 1260 
17, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1257 1254 1263 1257 1260 1260 1260 
18, 1260 1254 1257 1257 1257 1248 1257 1260 1263 1257 1257 1251 1260 1257 1257 1254 1257 1263 1254 1260 1263 1254 1254 1257 1254 1263 1257 1260 1260 1260 
