1, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1104 1104 1107 1098 1107 1101 1107 1104 
2, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1104 1104 1107 1098 1107 1101 1107 1104 
3, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1104 1104 1107 1098 1107 1101 1107 1104 
4, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1104 1104 1107 1098 1107 1101 1107 1104 
5, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1104 1104 1107 1098 1107 1101 1107 1104 
6, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1104 1104 1107 1098 1107 1101 1107 1104 
7, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1104 1104 1107 1098 1107 1101 1107 1104 
8, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1104 1104 1107 1098 1107 1101 1107 1104 
9, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1104 1104 1107 1098 1107 1101 1107 1104 
10, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1104 1104 1107 1098 1107 1101 1107 1104 
11, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1104 1104 1107 1098 1107 1101 1107 1104 
12, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1104 1104 1107 1098 1107 1101 1107 1104 
13, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1101 1104 1107 1098 1107 1101 1107 1104 
14, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1101 1104 1107 1098 1107 1101 1107 1104 
15, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1101 1104 1107 1098 1107 1101 1107 1104 
16, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1101 1104 1107 1098 1107 1101 1107 1104 
17, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1101 1104 1107 1098 1107 1101 1107 1104 
18, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1101 1104 1107 1098 1107 1101 1107 1104 
19, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1101 1104 1107 1098 1107 1101 1107 1104 
20, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1101 1104 1107 1098 1107 1101 1107 1104 
21, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1101 1104 1104 1098 1107 1101 1107 1104 
22, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1101 1104 1104 1098 1107 1101 1107 1104 
23, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1101 1104 1104 1098 1107 1101 1107 1104 
24, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1104 1104 1107 1104 1107 1104 1107 1104 1098 1110 1101 1104 1104 1098 1107 1101 1107 1104 
25, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1101 1104 1107 1104 1107 1104 1104 1104 1098 1110 1101 1104 1104 1098 1107 1101 1107 1104 
26, 1104 1104 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1101 1104 1107 1104 1107 1104 1101 1104 1098 1110 1101 1104 1104 1098 1107 1101 1107 1104 
27, 1104 1101 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1101 1104 1107 1104 1107 1104 1101 1104 1098 1110 1101 1104 1104 1098 1107 1101 1107 1104 
28, 1104 1101 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1101 1104 1107 1104 1107 1104 1101 1104 1098 1110 1101 1104 1104 1098 1107 1101 1107 1104 
29, 1104 1101 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1101 1101 1107 1104 1107 1104 1101 1104 1098 1110 1101 1104 1104 1098 1107 1101 1107 1104 
30, 1104 1101 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1101 1101 1107 1104 1107 1104 1101 1104 1098 1110 1101 1104 1104 1098 1107 1101 1107 1104 
31, 1104 1101 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1101 1101 1107 1104 1107 1104 1101 1104 1098 1110 1101 1104 1104 1098 1107 1101 1107 1104 
32, 1104 1101 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1101 1101 1107 1104 1107 1104 1101 1104 1098 1110 1101 1104 1104 1098 1104 1101 1107 1104 
33, 1104 1101 1101 1104 1107 1101 1101 1101 1107 1104 1098 1104 1101 1101 1107 1101 1107 1104 1101 1104 1098 1110 1101 1104 1104 1095 1104 1101 1107 1104 
34, 1104 1101 1101 1104 1107 1101 1101 1101 1107 1104 1095 1104 1101 1101 1107 1101 1107 1104 1101 1104 1098 1110 1101 1104 1104 1095 1104 1101 1107 1104 
35, 1104 1101 1101 1104 1107 1101 1101 1101 1107 1104 1095 1104 1101 1101 1107 1101 1107 1104 1101 1104 1098 1110 1101 1104 1104 1095 1104 1101 1107 1104 
36, 1104 1101 1101 1104 1107 1098 1101 1101 1107 1104 1095 1101 1101 1101 1104 1101 1107 1104 1101 1104 1098 1110 1101 1104 1104 1095 1104 1101 1107 1104 
37, 1104 1098 1101 1104 1107 1095 1101 1101 1107 1104 1095 1101 1101 1101 1104 1101 1107 1104 1101 1104 1098 1110 1101 1104 1104 1095 1104 1101 1107 1101 
38, 1104 1098 1101 1104 1107 1095 1101 1101 1107 1104 1095 1101 1101 1101 1104 1101 1107 1104 1101 1104 1098 1110 1101 1104 1104 1095 1104 1101 1107 1101 
39, 1104 1098 1101 1104 1107 1095 1101 1101 1107 1104 1095 1101 1101 1101 1104 1101 1107 1104 1101 1104 1098 1110 1101 1104 1104 1095 1104 1101 1107 1101 
40, 1104 1098 1101 1104 1107 1095 1101 1101 1107 1104 1095 1101 1101 1101 1104 1101 1107 1104 1101 1104 1098 1107 1101 1104 1104 1095 1104 1101 1107 1101 
41, 1104 1098 1101 1104 1107 1095 1101 1101 1107 1104 1092 1101 1101 1101 1104 1101 1107 1104 1101 1104 1098 1107 1101 1104 1104 1095 1104 1101 1107 1101 
42, 1104 1098 1101 1104 1107 1095 1101 1101 1107 1104 1092 1098 1098 1101 1104 1101 1107 1104 1101 1104 1098 1107 1101 1104 1104 1095 1104 1101 1107 1101 
43, 1104 1098 1101 1104 1107 1095 1101 1101 1107 1104 1092 1098 1098 1101 1104 1101 1107 1104 1101 1104 1098 1107 1101 1104 1104 1095 1104 1101 1107 1101 
44, 1104 1098 1101 1104 1107 1095 1101 1101 1107 1104 1092 1098 1098 1101 1104 1101 1101 1104 1101 1104 1098 1107 1101 1104 1104 1095 1104 1101 1107 1101 
45, 1104 1098 1101 1104 1107 1095 1101 1101 1107 1104 1092 1098 1098 1101 1104 1101 1101 1104 1101 1101 1098 1107 1101 1104 1104 1095 1104 1101 1107 1101 
