1, 1101 1101 1098 1101 1104 1104 1101 1098 1098 1098 1101 1098 1101 1104 1098 1104 1104 1101 1104 1101 1098 1101 1101 1104 1104 1101 1101 1104 1104 1098 
2, 1101 1101 1098 1101 1104 1104 1101 1098 1098 1098 1101 1098 1101 1104 1098 1104 1104 1101 1104 1101 1098 1101 1101 1104 1104 1101 1101 1104 1104 1098 
3, 1101 1101 1098 1101 1104 1104 1101 1098 1098 1095 1101 1098 1101 1104 1098 1101 1104 1101 1104 1101 1098 1101 1101 1104 1104 1101 1101 1104 1104 1098 
4, 1101 1101 1098 1101 1104 1104 1101 1098 1098 1095 1101 1098 1101 1104 1098 1101 1104 1101 1104 1101 1098 1101 1101 1104 1104 1101 1101 1104 1104 1098 
5, 1101 1101 1098 1101 1104 1104 1101 1098 1098 1095 1101 1098 1101 1104 1098 1101 1104 1101 1104 1101 1098 1101 1101 1104 1104 1101 1101 1104 1104 1098 
6, 1101 1101 1098 1101 1104 1104 1101 1098 1098 1095 1101 1098 1101 1104 1098 1101 1104 1101 1104 1101 1098 1101 1101 1104 1104 1101 1101 1104 1104 1098 
7, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1098 1101 1104 1101 1104 1101 1098 1101 1101 1104 1104 1101 1101 1104 1104 1098 
8, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1098 1101 1104 1101 1104 1101 1098 1101 1101 1104 1104 1101 1101 1104 1104 1098 
9, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1098 1101 1104 1101 1104 1101 1098 1101 1101 1101 1104 1101 1101 1104 1101 1098 
10, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1098 1101 1104 1101 1104 1101 1098 1101 1101 1101 1104 1101 1101 1104 1101 1098 
11, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1098 1101 1104 1101 1104 1101 1098 1101 1101 1101 1104 1101 1101 1104 1101 1098 
12, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1098 1101 1104 1101 1104 1101 1098 1101 1101 1101 1104 1101 1101 1104 1101 1098 
13, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1098 1101 1104 1101 1104 1101 1098 1101 1101 1101 1104 1101 1101 1104 1101 1098 
14, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1095 1101 1104 1101 1104 1101 1098 1101 1101 1101 1104 1101 1101 1104 1101 1098 
15, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1095 1101 1104 1101 1104 1101 1098 1101 1101 1101 1104 1101 1101 1104 1101 1098 
16, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1095 1101 1104 1101 1104 1101 1098 1101 1101 1101 1104 1101 1101 1104 1101 1098 
17, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1095 1101 1101 1101 1104 1101 1098 1101 1101 1098 1104 1101 1101 1104 1101 1098 
18, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1095 1101 1101 1101 1104 1101 1098 1101 1101 1098 1104 1101 1101 1104 1101 1098 
19, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1095 1101 1101 1101 1104 1101 1098 1101 1101 1098 1104 1101 1101 1104 1101 1098 
20, 1101 1101 1098 1101 1101 1104 1101 1098 1098 1095 1101 1098 1101 1104 1095 1101 1101 1101 1104 1101 1098 1101 1101 1098 1104 1101 1101 1104 1101 1098 
