seed, runtime(s), ecmin
1, 13.29, 2487
2, 11.31, 2487
3, 11.77, 2487
4, 11.56, 2478
5, 11.52, 2487
6, 11.92, 2481
7, 11.87, 2487
8, 11.68, 2487
9, 11.66, 2481
10, 11.17, 2484
11, 11.46, 2487
12, 11.76, 2481
13, 11.51, 2484
14, 10.85, 2481
15, 11.72, 2475
16, 11.33, 2478
17, 11.33, 2490
18, 11.17, 2490
19, 10.99, 2484
20, 11.09, 2478
21, 11.29, 2481
22, 11.34, 2472
23, 11.20, 2487
24, 12.04, 2487
25, 11.10, 2484
26, 10.87, 2487
27, 11.72, 2478
28, 11.18, 2484
29, 12.35, 2475
30, 10.78, 2484
