seed, runtime(s), ecmin
1, 21.40, 1230
2, 20.84, 1236
3, 19.54, 1221
4, 18.83, 1233
5, 19.17, 1236
6, 18.81, 1230
7, 19.57, 1230
8, 20.15, 1224
9, 20.05, 1233
10, 19.62, 1224
11, 19.32, 1236
12, 19.98, 1230
13, 19.27, 1233
14, 20.72, 1224
15, 20.15, 1230
16, 19.32, 1230
17, 19.15, 1233
18, 20.30, 1227
19, 19.73, 1230
20, 20.10, 1230
21, 18.59, 1227
22, 19.48, 1236
23, 17.66, 1230
24, 18.33, 1233
25, 18.38, 1230
26, 19.23, 1233
27, 18.09, 1236
28, 17.56, 1230
29, 16.42, 1230
30, 17.48, 1230
