seed, runtime(s), ecmin
1, 13.20, 2487
2, 12.63, 2481
3, 11.93, 2493
4, 11.78, 2490
5, 12.20, 2478
6, 11.72, 2484
7, 11.96, 2490
8, 12.47, 2481
9, 11.83, 2484
10, 11.59, 2484
11, 12.04, 2478
12, 11.90, 2481
13, 11.59, 2484
14, 11.88, 2487
15, 12.51, 2484
16, 11.61, 2481
17, 12.58, 2484
18, 12.85, 2490
19, 12.61, 2478
20, 12.32, 2481
21, 12.90, 2484
22, 13.41, 2484
23, 12.86, 2484
24, 12.87, 2484
25, 13.01, 2478
26, 12.10, 2490
27, 12.33, 2496
28, 12.25, 2496
29, 12.32, 2481
30, 11.70, 2484
