seed, runtime(s), ecmin
1, 29.34, 1278
2, 24.03, 1278
3, 23.63, 1284
4, 23.43, 1275
5, 22.87, 1287
6, 22.69, 1278
7, 23.81, 1284
8, 22.83, 1281
9, 22.40, 1287
10, 22.46, 1278
11, 22.83, 1275
12, 22.88, 1284
13, 22.76, 1278
14, 22.61, 1281
15, 23.26, 1284
16, 22.73, 1278
17, 22.75, 1281
18, 23.22, 1284
19, 23.34, 1281
20, 22.78, 1278
21, 22.49, 1287
22, 23.52, 1281
23, 25.39, 1275
24, 30.27, 1287
25, 31.34, 1278
26, 31.06, 1278
27, 31.05, 1284
28, 31.30, 1278
29, 31.32, 1275
30, 29.30, 1284
