Seed, Runtime(s), ecmin
1, 3.56, 1080
2, 3.57, 1077
4, 3.35, 1077
3, 3.98, 1080
6, 3.60, 1077
5, 3.78, 1077
8, 3.56, 1077
7, 4.03, 1077
9, 3.63, 1077
10, 3.97, 1080
11, 3.65, 1080
12, 4.11, 1077
14, 3.92, 1080
13, 4.12, 1080
16, 3.24, 1077
15, 3.50, 1080
18, 3.35, 1080
17, 3.45, 1077
20, 3.31, 1077
19, 3.68, 1077
22, 3.28, 1077
21, 3.56, 1077
23, 3.18, 1077
24, 3.47, 1077
25, 3.54, 1077
26, 3.60, 1077
28, 3.24, 1077
27, 3.54, 1077
30, 3.31, 1077
29, 3.79, 1077
