Seed, Runtime(s), ecmin
1, 86.52, 2934
2, 87.88, 2940
3, 85.27, 2937
4, 88.07, 2940
6, 93.56, 2946
5, 94.69, 2931
7, 94.94, 2934
8, 95.58, 2940
10, 87.23, 2937
9, 88.30, 2931
11, 90.65, 2952
12, 91.47, 2940
13, 84.61, 2946
14, 86.06, 2931
15, 83.47, 2934
16, 86.96, 2937
17, 91.30, 2931
18, 92.88, 2937
20, 90.08, 2940
19, 92.51, 2946
22, 96.47, 2931
21, 97.79, 2946
23, 93.72, 2940
24, 98.70, 2925
25, 97.35, 2931
26, 100.66, 2931
28, 114.24, 2928
27, 114.75, 2937
29, 103.36, 2943
30, 103.59, 2931
